OliveFarm;Management;Complexity;Bubulcus_ibis;Burhinus_oedicnemus;Buteo_buteo;Accipiter_nisus;Athene_noctua;Coracias_garrulus;Merops_apiaster;Picus_viridis;Dendrocopos_major;Upupa_epops;Apus_apus;Tachymarptis_melba;Falco_naumanni;Falco_tinnunculus;Cyanopica_cyanus;Corvus_corone;Corvus_corax;Corvus_monedula;Pica_pica;Garrulus_glandarius;Lanius_senator;Lanius_excubitor;Oriolus_oriolus;Phylloscopus_bonelli;Phylloscopus_trochilus;Phylloscopus_collybita;Cettia_cetti;Aegithalos_caudatus;Hirundo_rustica;Hirundo_rupestris;Hirundo_daurica;Delichon_urbicum;Acrocephalus_scirpaceus;Hippolais_polyglotta;Sylvia_hortensis;Sylvia_undata;Sylvia_communis;Sylvia_cantillans;Sylvia_melanocephala;Sylvia_borin;Sylvia_atricapilla;Cisticola_juncidis;Calandrella_brachydactyla;Alauda_arvensis;Galerida_theklae;Galerida_cristata;Lullula_arborea;Melanocorypha_calandra;Parus_major;Parus_cristatus;Parus_caeruleus;Regulus_ignicapilla;Sturnus_unicolor;Sturnus_vulgaris;Turdus_philomelos;Turdus_viscivorus;Turdus_merula;Turdus_iliacus;Luscinia_megarhynchos;Ficedula_hypoleuca;Saxicola_torquatus;Monticola_solitarius;Phoenicurus_ochruros;Phoenicurus_phoenicurus;Erithacus_rubecula;Muscicapa_striata;Erythropygia_galactotes;Certhia_brachydactyla;Troglodytes_troglodytes;Coccothraustes_coccothraustes;Serinus_serinus;Carduelis_cannabina;Loxia_curvirostra;Carduelis_carduelis;Carduelis_chloris;Fringilla_coelebs;Miliaria_calandra;Emberiza_cirlus;Emberiza_cia;Anthus_pratensis;Motacilla_cinerea;Motacilla_alba;Passer_montanus;Passer_domesticus;Passer_hispaniolensis;Petronia_petronia;Cuculus_canorus;Streptopelia_turtur;Streptopelia_decaocto;Columba_livia;Columba_palumbus;Coturnix_coturnix;Alectoris_rufa
PIEDRASEXP;intensive;Low;0;0;12;0;2;0;7;0;0;7;9;0;0;0;0;0;32;25;0;0;11;2;0;0;0;30;0;0;5;0;0;0;0;0;1;1;0;1;123;0;86;2;0;0;43;32;3;0;59;0;3;0;67;0;265;0;46;0;0;0;0;0;11;0;70;0;0;0;0;0;132;279;0;233;166;233;2;2;1;8;0;40;9;48;0;20;0;10;3;77;61;0;4
PIEDRASCON;extensive;Low;0;4;1;0;4;0;5;1;0;15;16;0;0;2;0;3;19;141;0;0;17;1;0;4;0;15;1;0;2;0;2;0;6;0;1;2;0;0;151;0;173;0;0;0;105;40;5;1;66;0;2;0;22;0;94;2;65;1;1;5;0;0;18;0;102;0;0;2;0;0;113;107;0;423;155;172;10;1;0;2;0;13;0;4;0;0;0;9;1;22;51;0;30
RANCHOEXP;extensive;High;11;0;0;0;1;0;36;18;3;3;0;0;0;0;0;0;0;1;0;7;0;0;5;0;0;29;0;0;12;10;0;0;0;3;0;0;0;0;66;0;103;0;0;0;9;7;42;0;60;4;105;2;41;0;69;0;39;0;3;7;0;0;12;1;79;1;0;32;11;1;16;15;0;120;35;123;5;11;0;8;0;12;0;67;0;0;2;8;2;1;18;0;16
RANCHOCON;intensive;High;5;0;3;1;1;0;7;15;3;5;12;0;0;5;0;0;0;0;0;2;5;0;0;2;0;15;1;6;19;11;0;0;0;0;10;0;0;0;83;1;73;5;0;0;8;20;18;0;44;0;67;4;45;0;46;3;22;1;8;2;11;0;5;2;55;2;0;43;5;2;16;12;0;71;51;76;26;5;0;30;0;23;0;56;0;0;5;0;17;11;7;0;31
TOBAZOEXP;extensive;Intermediate;0;0;6;1;1;0;1;6;2;23;5;0;0;0;0;1;12;5;10;0;14;0;5;0;0;37;2;9;11;5;25;12;0;1;4;1;0;2;150;0;39;1;0;0;23;58;35;0;97;0;17;0;318;0;131;5;81;0;11;9;12;0;26;6;82;1;0;0;1;3;32;118;0;210;69;203;59;8;0;6;0;62;0;136;0;0;5;7;13;0;61;0;3
TOBAZOCON;intensive;Intermediate;0;0;2;1;0;0;0;0;0;15;4;0;0;1;0;0;5;0;0;0;0;0;0;1;0;28;0;2;6;0;5;2;0;5;0;0;0;0;172;2;125;1;0;0;16;28;3;0;138;0;8;7;71;0;60;12;100;0;11;1;0;0;8;3;74;7;0;1;0;0;81;123;0;84;65;260;3;13;0;0;0;33;0;129;0;0;7;7;6;57;65;0;1
TOQUILLASEXP;intensive;Low;0;0;7;0;1;0;1;0;0;9;23;0;0;1;0;0;25;0;0;0;1;0;0;9;0;15;0;7;6;0;0;39;0;1;3;0;0;0;75;0;191;0;0;0;1;2;10;0;107;0;9;0;25;0;60;23;96;0;6;1;0;0;8;1;122;4;0;55;0;0;93;50;0;175;108;325;0;1;0;3;0;16;0;33;0;0;4;7;4;35;21;0;0
TOQUILLASCON;extensive;Low;0;0;3;0;2;1;3;0;0;15;17;0;1;6;0;0;12;0;1;0;5;0;0;2;0;23;0;0;2;0;1;2;0;1;0;0;0;0;126;0;208;0;0;0;15;11;0;0;103;0;9;0;149;0;100;4;88;2;14;3;0;0;5;2;133;4;0;7;2;0;159;172;0;167;112;238;0;7;0;2;0;22;0;104;0;0;0;15;10;21;86;0;19
TORRESEXP;extensive;High;0;0;2;0;0;0;101;1;14;2;61;0;0;2;0;4;8;0;15;6;10;3;1;3;0;53;1;22;10;0;0;0;0;7;0;5;0;0;84;0;56;2;0;0;40;16;72;0;128;0;46;6;89;0;170;3;36;4;7;0;26;0;1;0;99;1;0;0;0;7;36;54;10;72;53;294;70;1;2;19;0;22;0;23;0;2;1;1;0;1;10;0;1
TORRESCON ;intensive;High;0;0;0;1;0;0;21;1;1;3;12;0;1;1;2;5;6;0;9;8;1;3;3;3;0;42;2;5;1;0;0;0;0;0;1;0;1;1;89;0;66;0;0;0;26;6;39;0;97;0;34;0;69;0;188;2;33;2;7;3;3;0;2;2;61;0;0;0;1;0;20;79;0;125;25;414;3;1;0;5;0;24;0;1;0;3;0;1;2;0;9;0;1
BENZALAEXP;intensive;Low;0;0;0;0;0;0;3;0;0;6;2;0;0;0;0;0;23;0;0;0;1;0;0;0;1;6;0;0;21;0;1;0;0;2;0;0;0;0;127;0;125;0;0;0;7;13;2;0;31;0;4;0;3;0;149;2;24;0;0;0;2;0;3;0;66;0;0;0;0;0;102;58;0;103;36;152;1;0;0;0;0;4;0;6;0;0;0;6;0;27;8;0;14
BENZALACON;extensive;Low;0;1;7;1;0;0;5;0;0;9;0;0;0;3;1;0;21;5;0;0;1;0;2;0;1;12;0;0;5;0;14;7;0;8;0;0;0;0;64;0;61;0;0;0;1;8;0;0;47;0;8;0;152;1;110;8;42;1;2;3;0;1;11;2;49;1;0;7;0;0;71;78;1;184;83;160;14;1;0;5;0;22;0;40;0;53;4;16;11;31;26;0;1
CASILLASEXP;extensive;Low;0;0;2;0;3;2;3;0;0;16;1;0;0;0;0;0;30;0;0;0;0;0;0;0;0;20;0;0;15;0;0;0;0;10;2;0;0;0;42;0;83;7;0;0;4;21;0;0;26;0;0;0;13;0;68;0;18;0;0;7;0;0;1;4;29;1;1;0;0;0;104;31;0;308;36;98;30;0;0;0;0;22;0;10;0;0;0;2;2;239;9;0;6
CASILLASCON;intensive;Low;0;0;8;0;0;0;0;0;0;21;1;0;0;2;0;0;19;0;0;0;0;0;0;0;0;37;0;0;10;0;4;15;0;0;2;0;2;0;74;0;79;0;0;1;0;7;0;0;57;0;0;0;29;5;106;0;29;0;0;3;0;0;3;21;55;1;3;0;0;0;121;30;0;57;37;166;6;0;0;4;0;24;0;15;0;0;0;1;2;8;37;0;1
CORTIJOEXP;intensive;Low;0;4;15;0;2;1;46;0;0;1;24;0;0;1;0;0;26;0;1;0;2;2;0;0;11;19;2;0;31;0;6;31;0;6;13;0;9;0;153;0;107;14;0;4;0;101;0;0;16;0;0;0;1;0;156;3;17;0;3;0;23;0;5;3;103;0;1;0;0;0;205;435;0;386;95;69;41;0;0;8;0;9;0;80;0;0;1;12;4;46;4;3;50
CORTIJOCON;extensive;Low;0;2;1;0;3;0;17;0;0;18;24;0;0;1;0;0;11;0;0;0;3;0;0;0;0;14;0;0;3;0;0;6;1;4;8;0;0;0;114;0;117;0;0;2;0;54;2;0;37;0;1;1;45;0;116;0;29;0;0;2;0;0;4;0;74;0;4;0;0;0;279;138;0;133;94;261;1;0;0;5;0;23;0;24;0;0;2;3;0;109;6;1;17
GUADIANAEXP;extensive;Intermediate;0;0;1;0;0;0;6;0;0;27;0;0;0;2;0;0;3;27;0;0;5;1;0;0;2;11;1;0;2;0;0;1;0;3;6;0;1;0;102;0;99;0;0;0;33;65;3;0;88;0;5;0;9;0;136;0;74;0;15;0;1;0;1;2;45;1;0;1;0;0;61;89;0;196;102;310;17;3;0;1;0;33;13;76;30;0;2;15;1;0;46;12;5
GUADIANACON;intensive;Intermediate;0;0;2;0;1;0;5;0;0;20;1;0;0;1;0;1;9;0;0;0;0;0;0;0;0;15;21;3;10;3;30;112;2;8;0;0;1;0;154;0;124;0;0;0;23;29;0;0;70;0;8;0;227;0;172;0;81;0;17;0;0;0;5;2;88;2;1;0;3;0;124;84;3;255;123;297;1;5;0;4;0;44;4;82;18;10;0;15;6;16;63;0;1
GUADEXTEXP;extensive;Intermediate;0;0;1;0;0;0;2;0;2;59;19;0;0;1;0;4;0;0;0;0;8;1;5;0;5;41;13;3;29;0;3;0;1;3;3;0;0;0;169;0;106;0;1;0;16;33;0;0;109;2;18;0;360;2;140;0;91;0;12;10;7;0;6;0;71;2;0;20;5;0;93;63;0;222;148;357;15;2;0;14;1;97;161;90;21;5;0;18;11;5;76;1;2
GUADEXTCON;intensive;Intermediate;0;0;1;0;0;0;6;1;4;34;17;1;0;0;0;0;4;0;13;0;4;2;1;0;1;25;24;4;25;0;6;7;0;13;0;0;0;0;170;0;125;4;3;1;0;41;0;0;71;13;7;0;188;0;145;6;82;0;21;7;8;0;25;2;112;1;0;2;1;0;140;44;0;248;126;252;45;4;0;7;1;54;27;208;107;2;0;14;8;1;52;0;0
LANTEJUEEXP;extensive;Low;7;2;7;0;1;1;9;6;0;5;1;4;6;3;0;0;16;2;0;0;1;0;0;5;2;34;2;0;15;0;0;0;0;14;1;0;0;0;82;0;112;0;3;2;0;49;0;16;24;0;1;0;31;0;65;0;9;0;1;3;1;0;1;4;64;0;0;0;0;0;63;29;0;62;115;19;4;0;0;1;0;23;0;62;32;0;4;2;29;66;1;1;30
LANTEJUECON;intensive;Low;10;279;10;0;3;3;19;11;0;4;6;0;2;2;0;0;6;0;0;0;0;0;3;1;2;13;27;0;28;0;3;14;0;3;2;0;0;0;58;0;96;3;0;1;0;42;0;10;23;0;2;0;46;0;63;0;13;0;18;6;4;0;7;3;39;0;0;0;0;0;115;30;0;113;95;14;3;0;0;9;0;14;0;228;83;0;3;11;61;147;11;0;50
LATORREEXP;extensive;High;0;0;1;2;8;0;15;0;0;29;13;0;0;2;0;0;2;0;0;0;24;5;0;0;1;25;0;1;19;0;2;75;0;1;1;1;0;0;252;1;43;2;0;0;104;127;27;0;58;0;3;0;142;93;118;3;104;0;0;1;23;3;6;5;58;0;0;0;0;0;80;183;0;134;164;90;79;5;0;36;0;20;0;116;0;0;9;3;1;0;0;4;4
LATORRECON;intensive;High;85;0;0;0;2;0;70;0;7;6;15;0;0;0;0;0;15;7;0;5;3;0;0;0;4;26;0;1;24;10;0;6;0;2;0;2;0;0;199;0;57;1;0;0;46;44;34;0;74;3;8;0;10;0;157;2;127;0;0;1;4;1;4;1;135;0;0;1;0;0;50;100;8;308;88;245;12;1;0;3;0;4;0;5;0;0;12;3;2;0;19;0;3
CASONAEXP;extensive;High;0;0;1;2;9;0;6;20;8;11;9;0;0;2;1;0;1;13;0;21;1;2;0;23;0;10;0;16;4;1;3;0;1;0;1;6;0;3;162;0;89;0;1;0;10;7;27;0;30;0;25;5;40;0;127;70;143;0;0;6;1;0;37;10;89;2;0;19;2;0;78;41;35;84;47;318;0;10;4;11;0;26;0;7;0;0;0;19;0;19;183;0;31
CASONACON;intensive;High;0;0;0;0;10;0;3;20;4;9;0;0;1;5;0;0;2;55;0;6;2;7;3;3;0;6;0;1;2;4;8;2;5;1;0;0;0;0;209;0;146;0;1;0;18;1;0;0;68;0;9;0;2;0;102;45;153;0;1;8;0;5;23;5;122;3;0;3;4;1;91;25;5;55;91;265;0;0;3;1;0;8;0;1;0;0;0;15;5;24;74;0;26
LAQUINTAEXP;extensive;Low;12;0;0;0;0;0;11;0;0;5;188;2;0;4;0;0;0;1;0;0;0;0;0;0;0;23;0;0;38;0;7;36;0;0;0;0;0;0;26;0;27;1;0;0;0;47;0;0;17;0;0;0;422;0;18;0;1;0;0;0;3;0;25;1;28;0;2;0;0;0;245;161;0;32;71;38;5;0;0;29;3;38;0;718;0;0;0;1;112;189;0;0;0
LAQUINTACON;intensive;Low;14;11;1;0;0;0;1;0;0;0;31;0;0;5;66;0;0;0;0;0;0;0;0;0;0;18;0;0;33;0;2;13;0;2;0;0;0;0;22;0;51;1;0;2;0;7;0;0;7;0;0;0;118;0;7;0;5;0;1;0;0;0;21;1;24;2;0;0;0;0;93;12;0;47;38;49;3;0;0;7;0;18;0;197;0;0;1;8;51;69;1;0;0
MONVAEXP;extensive;Intermediate;0;3;3;0;5;0;1;13;1;26;6;0;0;6;0;1;14;1;0;0;6;8;1;0;5;18;0;4;19;4;7;33;0;5;4;0;0;0;164;0;78;0;0;0;33;13;15;0;38;0;4;2;53;0;297;14;104;2;2;11;0;2;5;5;107;0;0;1;0;4;136;130;2;382;47;328;1;0;0;1;2;66;0;18;0;1;6;18;9;1;224;0;51
MONVACON;intensive;Intermediate;0;3;7;1;1;0;4;11;2;31;0;0;0;1;0;0;12;1;1;0;0;6;0;2;1;10;0;0;8;1;4;0;0;3;0;0;0;0;153;0;88;0;0;1;25;14;6;0;81;0;7;1;202;0;206;17;124;0;10;4;0;0;12;0;83;1;0;1;0;0;181;280;0;149;136;255;0;0;0;3;0;28;0;38;0;2;2;9;4;35;341;0;19
